Banglish,Bangla
kraistcarco,ক্রাইস্টচার্চ
kranco,ক্রাঞ্চ
krantade,ক্রান্তাদে
kranti,ক্রান্তি
krantikal,নিঃশর্ত
krantikaleo,ক্রান্তিকালেও
krantikalni,ক্রান্তিকালনিঃশর্ত
krantilogne,ক্রান্তিলগ্নে
krar,চাইলে
kras,ক্রাস
krasfayar,ক্রাসফায়ার
krash,ক্রাশ
krashra,ক্রাশরা
kraun,ক্রাউন
krbar,ক্রবার
kre,করে
kreadher,ক্রোধের
kreana,করোনা
krech,করেছ
kreche,করেছে
krechil,করেছিল
kredid,ক্রেডিড
kredit,ক্রেডিট
kredite,ক্রেডিটে
kredito,ক্রেডিটও
kreditta,ক্রেডিটটা
kreijines,ক্রেইজিনেস
kreinike,ক্রেইনিকে
kreishabon,ক্রেইশাবন
kreji,ক্রেজি
krejinej,ক্রেজিনেজ
krejines,ক্রেজিনেস
krejineser,ক্রেজিনেসের
krejivabe,ক্রেজিভাবে
kreking,ক্রেকিং
krel,ক্রেল
kren,করেন
kreret,ক্রেরেট
kreta,ক্রেতা
kretader,ক্রেতাদের
kretaderke,ক্রেতাদেরকে
kretake,দাম
kretar,ক্রেতার
kretara,ক্রেতারা
kretarao,ক্রেতারাও
kretasadharon,ক্রেতাসাধারণ
kri,ক্রি
krib,ক্রিব
kribabi,ক্রিবাবি
krij,ক্রিজ
krije,ক্রিজে
krijntabodh,কৃজ্ঞতাবোধ
kriket,ক্রিকেট
kriketake,ক্রিকেটাকে
kriketar,ক্রিকেটার
kriketara,ক্রিকেটারা
kriketarder,ক্রিকেটারদের
kriketarer,ক্রিকেটারের
kriketarra,ক্রিকেটাররা
kriketarrai,ক্রিকেটাররাই
kriketarrao,ক্রিকেটাররাও
kriketarta,ক্রিকেটারটা
krikete,ক্রিকেটে
kriketeo,ক্রিকেটেও
kriketer,ক্রিকেটের
kriketi,ক্রিকেটই
kriketiy,ক্রিকেটীয়
kriketke,ক্রিকেটকে
kriketor,ক্রিকেটর
krikojarra,ক্রিকোজাররা
krilanggarer,কৃলাঙ্গারের
krim,ক্রিম
krime,ক্রিমে
krimer,ক্রিমের
kriminal,ক্রিমিনাল
kriminaler,ক্রিমিনালের
kriminalke,ক্রিমিনালকে
krimir,কৃমির
krimnali,ক্রিমনালই
krimogonjo,করিমগঞ্জ
kringoj,ক্রিংজ
krinjo,ক্রিঞ্জ
kripa,কৃপা
kripai,কৃপাই
kripay,কৃপায়
kripon,কৃপণ
kriponta,কৃপণতা
kriponvabe,কৃপণভাবে
krir,ক্রির
krira,ক্রীড়া
krirabid,ক্রীড়াবিদ
krirabider,ক্রীড়াবিদের
krirajogot,ক্রীড়াজগৎ
krirajogter,ক্রিড়াজগতের
krirajojnke,ক্রীড়াযজ্ঞকে
kriramontri,ক্রীড়ামন্ত্রী
krirti,কৃর্তী
krirtrik,কৃর্তৃক
kris,ক্রিস
krisalvarado,ক্রিসআলভারাডো
krisardabluke,ক্রিসআরডাব্লুকে
kriscijon,ক্রিস্চিযন
krisento,ক্রিসেন্ট
krishan,কৃষাণ
krishi,কৃষি
krishibid,কৃষিবিদ
krishibjobostha,কৃষিব্যবস্থা
krishijmi,কৃষিজমি
krishijmite,কৃষিজমিতে
krishikkhetre,কৃষিক্ষেত্রে
krishite,কৃষিতে
krishker,কৃষকের
krishkera,কৃষকেরা
krishkerai,কৃষকেরাই
krishn,কৃষ্ণ
krishna,কৃষ্ণা
krishnanggo,কৃষ্ণাঙ্গ
krishncura,কৃষ্ণচূড়া
krishncurar,কৃষ্ণচূড়ার
krishnhara,হইয়া
krishni,কৃষ্ণই
krishnkathi,কৃষ্ণকাঠি
krishno,কৃষ্ণ
krishnoklider,কৃষ্ণকলিদের
krishnor,কৃষ্ণর
krishnre,কৃষ্ণরে
krishok,কৃষক
krishokder,কৃষকদের
krishokra,কৃষকরা
krishti,কৃষ্টি
krishtike,কৃষ্টিকে
krishtiyano,ক্রিষ্টিয়ানো
krisi,ক্রিসি
krismas,ক্রিসমাস
krismase,ক্রিসমাসে
krismaser,ক্রিসমাসের
krismaske,ক্রিসমাসকে
krispismoros,ক্রিস্পিসমোরস
kristal,ক্রিস্টাল
kristalsimail,ক্রিস্টালসিমাইল
kristamaezeny,ব্লুওয়াফেল
kristan,ক্রিস্টান
kristayano,ক্রীস্টায়ানো
kristi,ক্রিস্টি
kristike,ক্রিস্টিকে
kristin,ক্রিস্টিন
kristina,ক্রিস্টিনা
kristinar,ক্রিস্টিনার
kristito,ক্রিস্টিতো
kristiyan,ক্রিস্টিয়ান
kristiyano,ক্রিস্টিয়ানো
kristnmalea,এই
krit,কৃত
kritdas,ক্রীতদাস
kriti,কৃতি
kritikal,ক্রিটিকাল
kritimta,কৃতিমতা
krititbe,কৃতিত্বে
krititber,কৃতিত্বের
krititbke,কৃতিত্বকে
krititbo,কৃতিত্ব
kritjo,কৃত্য
kritkarjo,কৃতকার্য
kritofol,কৃতফল
kritog,কৃতগ
kritogjta,কৃতগ্যতা
kritojn,কৃতজ্ঞ
kritojno,কৃতজ্ঞ
kritojnta,কৃতজ্ঞতা
kritojntar,কৃতজ্ঞতার
kritokormer,কৃতকর্মের
kritokormke,কৃতকর্মকে
kritonggo,কৃতঙ্গ
kritopkkher,কৃতপক্ষের
kritrim,কৃত্রিম
kritrimta,কৃত্রিমতা
krittir,কৃত্তির
kriya,ক্রিয়া
kriyaguli,হ্রাস
kriyaklap,ক্রিয়াকলাপ
kriyaklaper,ক্রিয়াকলাপের
kriyaklapguli,ক্রিয়াকলাপগুলি
kriyar,ক্রিয়ার
kriyat,ক্রিয়াট
kriyate,ক্রিয়াতে
kriyechen,করিয়েছেন
kriyektib,ক্রিয়েক্টিব
kriyet,ক্রিয়েট
kriyetiber,ক্রিয়েটিবের
kriyetibi,ক্রিয়েটিবি
kriyetiv,ক্রিয়েটিভ
kriyetiviti,ক্রিয়েটিভিটি
kriyetor,ক্রিয়েটর
krjac,ক্র্যাচ
krjaji,ক্র্যাজি
krjak,ক্র্যাক
krjakar,ক্র্যাকার
krjamping,ক্র্যাম্পিং
krjanso,ক্র্যান্স
krjash,ক্র্যাশ
krjashe,ক্র্যাশে
krjines,ক্রজিনেস
krlingoyer,ক্রলিংয়ের
krmabontite,ক্রমাবনতিতে
krmagot,ক্রমাগত
krmagotvabe,ক্রমাগতভাবে
krmanbye,ক্রমান্বয়ে
krmannye,ক্রমান্নয়ে
krmas,ক্রমাস
krme,ক্রমে
krmei,ক্রমেই
krmonnti,ক্রমোন্নতি
krnik,ক্রনিক
krniyeke,ক্রনিয়েকে
kro,করো
kroce,ক্রোচে
krodh,ক্রোধ
krodhagni,ক্রোধাগ্নি
krodhanle,ক্রোধানলে
krodhe,ক্রোধে
krodher,ক্রোধের
krodhke,ক্রোধকে
kroking,ক্রোকিং
krol,ক্রল
krolti,ক্রলটি
krom,ক্রম
kromobordhman,ক্রমবর্ধমান
kromosh,ক্রমশ
kromosho,ক্রমশঃ
kromshi,ক্রমশই
kromti,ক্রমটি
krona,করোনা
kronaatongke,করোনাআতঙ্কে
kronar,করোনার
kronavairas,করোনাভাইরাস
kronavairase,করোনাভাইরাসে
kronavairaser,করোনাভাইরাসের
kronavairaske,করোনাভাইরাসকে
kronay,করোনায়
kroncjukto,ক্রঞ্চযুক্ত
krondit,ক্রন্দিত
kroo,ক্রোও
krop,ক্রপ
kros,ক্রস
krosfayar,ক্রসফায়ার
krosfayardeya,ক্রসফায়ারদেয়া
krosfayare,ক্রসফায়ারে
krosfayarer,ক্রসফায়ারের
krosh,ক্রোশ
kroshet,ক্রোশেট
krosod,ক্রসড
krospayar,ক্রসপায়ার
kroy,ক্রয়
kroye,ক্রয়ে
kroyeshiya,কম্বোডিয়া
kroyesiyarso,সুরক্ষা
kroykhomtar,ক্রয়ক্ষমতার
kroykhoomta,ক্রয়ক্ষমতা
kroykhoomtar,ক্রয়ক্ষমতার
krse,ক্রসে
krser,ক্রসের
krsing,ক্রসিং
kru,ক্রু
krud,ক্রুড
kruddho,ক্রুদ্ধ
kruddhosbre,ক্রুদ্ধস্বরে
kruder,ক্রুদের
kruifer,ক্রুইফের
kruj,ক্রুজ
krujer,ক্রুজের
kruk,করুক
krun,করুন
kruna,করুণা
krunar,করুণার
krur,ক্রুর
krus,ক্রুস
krushbiddho,ক্রুশবিদ্ধ
krute,ক্রুতে
kruti,ক্রুটি
kryer,ক্রয়ের
kryetiv,ক্রয়েটিভ
ksai,কসাই
ksbajar,ক্সবাজার
ksobbo,ক্সব্ব
kta,কতা
ktea,কতো
ktha,কথা
kthagulo,কথাগুলো
kthai,কথাই
kthao,কথাও
kthar,কথার
kthata,কথাটা
kthati,কথাটি
kthay,কথায়
kthin,কঠিন
kthinotom,কঠিনতম
kthit,কথিত
kthor,কঠোর
kti,ক্তি
ktiket,জরিপ
ktikor,লাগে
ktin,কটিন
ktina,কতইনা
ktipoy,কতিপয়
ktir,ক্তির
ktishali,ক্তিশালী
kto,কতো
ktodin,কতোদিন
ktogulo,কতোগুলো
ktota,কতোটা
ktovabe,কতোভাবে
ktripkho,কতৃপক্ষ
ktripkkher,কতৃপক্ষের
ktu,কটু
ktute,তুতে
ku,কু
kub,কুব
kubakubir,কুবাকুবির
kuber,কুবের
kubi,কুবি
kubiye,কুবিয়ে
kuc,কুচ
kucar,কুচার
kuccha,কুচ্ছা
kucchit,কুচ্ছিত
kuch,কুছ
kuci,কুচি
kucimuci,কুচিমুচি
kuciyechil,কুঁচিয়েছিল
kuckano,কুঁচকানো
kucke,কুঁচকে
kuckiye,কুঁচকিয়ে
kuckuce,কুচকুচে
kucokrder,কুচক্রদের
kucokri,কুচক্রী
kucokrider,কুচক্রীদের
kucokrkari,করি
kucokro,কুচক্র
kucokror,কুচক্রর
kucritro,কুচরিত্র
kudal,কুদাল
kuddus,কুদ্দুস
kude,কউডে
kudhormi,কুধর্মি
kudol,কুডল
kudorte,কুদরতে
kudorti,কুদরতি
kudos,কুদস
kudrishti,কুদৃষ্টি
kudrot,কুদ্রত
kudrte,কুদ্রতে
kuealig,কুএালীগ
kufa,কুফা
kufaite,কুফাইতে
kufol,কুফল
kufri,কুফরী
kufuri,করছে৷কিভাবে
kugorva,কুগর্ভা
kuhli,কুহলি
kuhu,কুহু
kuij,কুইজ
kuije,কুইজে
kuijer,সপ্তাহের
kuijti,কুইজটি
kuik,কুইক
kuiljer,কুইলজের
kuin,কুইন
kuinser,কুইন্সের
kuinton,কুইন্টন
kuir,কুইর
kuit,কুইট
kuitlar,কুইটলার
kuittar,কুইত্তার
kuj,হ
kujat,কুজাত
kuje,কুজে
kujonma,কুজন্মা
kuk,কুক
kukaje,কুকাজে
kukajer,দের
kukam,কুকাম
kukamer,কুকামের
kuke,কউকে
kukhadjo,কুখাদ্য
kukhjat,কুখ্যাত
kukhjigot,কুখ্যিগত
kukhkhat,কুখ্খাত
kuki,কুকি
kukigot,কুকিগত
kukiguli,কুকিগুলি
kukij,কুকিজ
kukijer,কুকিজের
kukir,কুকির
kukirti,কুকীর্তি
kukkhat,কুক্ষাত
kukkhigot,কুক্ষিগত
kukkut,কুক্কুট
kukkutke,কুক্কুটকে
kukore,কুঁকড়ে
kukorme,কুকর্মে
kukormer,কুকর্মের
kukormke,কুকর্মকে
kukormo,কুকর্ম
kukormor,কুকর্মর
kukormta,কুকর্মটা
kukri,কুকরি
kukrom,কুক্রম
kuku,জনন
kukur,কুকুর
kukura,কুকুরা
kukurchana,কুকুরছানা
kukurder,কুকুরদের
kukure,কুকুরে
kukurer,কুকুরের
kukurera,কুকুরেরা
kukurere,কুকুরেরে
kukurgulo,কুকুরগুলো
kukurgulor,কুকুরগুলোর
kukuri,কুকুরি
kukurke,কুকুরকে
kukurmukhi,কুকুরমুখী
kukuro,কুকুরও
kukurra,কুকুররা
kukurta,কুকুরটা
kukurtake,কুকুরটাকে
kukurti,কুকুরটি
kukurtike,কুকুরটিকে
kul,কুল
kula,কুলা
kulagar,কুলাগার
kulaigar,কুলাঈগার
kulaite,কুলাইতে
kulalo,কুলালো
kulangar,কুলাঙার
kulangarder,কুলাঙারদের
kulangarke,কুলাঙারকে
kulangarta,কুলানগারটা
kulangga,কুলাংগা
kulanggar,কুলাঙ্গার
kulanggara,কুলাঙ্গারা
kulanggarder,কুলাঙ্গারদের
kulanggardero,যারা
kulanggarer,কুলাঙ্গারের
kulanggarera,কুলাঙ্গারেরা
kulanggargulare,কুলাংগারগুলারে
kulanggari,কুলাঙ্গারই
kulanggarke,কুলাঙ্গারকে
kulanggarni,কুলাঙ্গারনী
kulanggarra,কুলাঙ্গাররা
kulangonggar,কুলাংঙ্গার
kulankara,কুলানকারা
kulate,কুলাতে
kulaura,কুলাউড়া
kulayni,কুলায়নি
kulbiyanbas,কুলবিয়ানবাস
kule,কুলে
kulei,কূলেই
kuler,কুলের
kulgar,কুলগার
kuli,কুলি
kuliyadi,কুলিয়াদি
kuliyarocre,কুলিয়ারচরে
kulke,কুলকে
kulkhani,তে
kulkinara,কূলকিনারা
kulle,কুললে
kullongga,কুল্লঙ্গা
kullonggar,কুল্লঙ্গার
kulngar,কুলংার
kulo,কুলো
kulobe,কুলোবে
kulololol,কুলললল
kulonggar,কুলংগার
kulonggarer,কুলংগারের
kulonggarke,কুলংগারকে
kulonggor,কুলঙ্গর
kulongongga,কুলংঙ্গা
kulshit,কুলষিত
kulta,কুলতা
kulula,কুলুলা
kulup,কুলুপ
kulur,কুলুর
kum,কুম
kumar,কুমার
kumarer,কুমারের
kumargarar,কুমারগাড়ার
kumari,কুমারী
kumarke,কুমারকে
kumaro,অনিতা
kumfu,কুমফু
kumilla,কুমিল্লা
kumillabasi,কুমিল্লাবাসী
kumillabasir,কুমিল্লাবাসীর
kumillah,কুমিল্লাহ
kumillai,কুমিল্লাই
kumillake,কুমিল্লাকে
kumillar,কুমিল্লার
kumillara,কুমিল্লারা
kumillarespi,কুমিল্লারএসপি
kumillate,কুমিল্লাতে
kumillay,কুমিল্লায়
kumir,কুমির
kumirer,কুমিরের
kumiryer,কুমিরয়ের
kumol,কুমল
kumonmanisoktar,কুমনমানিসকতার
kumor,কুমোর
kumoro,কুমড়ো
kumoror,কুমড়োর
kumotolob,কুমতলব
kumpanike,কুম্পানিকে
kumra,কুমড়া
kumvokorner,ঘুম
kun,কুন
kunar,কুনার
kundin,কুনদিন
kundli,কুণ্ডলী
kunduli,কুণ্ডুলী
kune,কুনে
kuner,কুনের
kungkel,কুঙ্কেল
kunis,কুনিস
kunje,কুঞ্জে
kunjobne,কুঞ্জবনে
kuno,কুনো
kunobjangger,পেরিয়ে
kunojor,কুনজর
kunojre,কুনজরে
kunthabodh,কুণ্ঠাবোধ
kunthit,কুন্ঠিত
kuntum,কুনতুম
kunu,কুনু
kunui,কুনুই
kuoa,কুওা
kuoagula,কুওাগুলা
kuoaleague,কুওালীগে
kuoalig,কুওালীগ
kuoalik,কুওালীক
kuoar,কুওার
kup,কূপ
kupa,কুপা
kupai,কুপাই
kupaiche,কুপাইছে
kupaile,কুপাইলে
kupaite,কুপাইতে
kupaiteche,কে
kupaiya,কুপাইয়া
kupakupi,কুপাকুপি
kupal,কুপাল
kupamu,কুপামু
kupayala,কুপায়ালা
kupaytam,কুপায়তাম
kupi,কুপি
kupir,কুপির
kupite,কুপিতে
kupiye,কুপিয়ে
kupiyemara,কুপিয়েমারা
kupkat,কুপকাত
kupkei,কূপকেই
kupmundoktake,তিনি
kupokat,কুপোকাত
kupon,কুপন
kuprostabe,কুপ্রস্তাবে
kupurushder,কুপুরুষদের
kuputro,কুপুত্র
kur,কুর
kuraane,কুরাআনে
kuraaner,কুরআানের
kuraite,কুড়াইতে
kural,কুড়াল
kuralen,কুড়ালেন
kuran,কুরআন
kurane,কুরআনে
kuraner,কুরআনের
kuranke,কুরআনকে
kurano,কুড়ানো
kuranul,কুরআনুল
kuras,কুরাস
kurate,কুড়াতে
kurbani,কুরবানী
kurbanir,কুরবানীর
kure,কুরে
kurer,কুরের
kurig,কুরিগ
kurigram,কুড়িগ্রাম
kurigrame,কুড়িগ্রামে
kurigramer,কুড়িগ্রামের
kurikhanik,কুড়িখানিক
kurir,কুঁড়ির
kuriya,কুরিয়া
kuriyan,কুরিয়ান
kuriyar,কুরিয়ার
kuriye,কুড়িয়ে
kuriyechen,কুড়িয়েছেন
kurkurani,কুরকুরানী
kurle,কুরলে
kurlus,কুরলুস
kurma,কুরমা
kurmitola,কুর্মিটোলা
kurmo,কূর্ম
kurnish,কুর্নিশ
kuroc,কুরোচ
kursi,কুরসি
kurtar,কুর্তার
kurte,কুর্তে
kurtke,কুর্টকে
kurtoslictar,কুর্টস্লিচটার
kurtoslishcar,কুর্টস্লিশ্চার
kuru,কুরু
kurucikor,কুরুচিকর
kurucipurno,কুরুচিপূর্ণ
kurup,কুরুপ
kushasner,কূশাসনের
kushikata,কুশিকাটা
kushikkha,কুশিক্ষা
kushikkhabid,কুশিক্ষাবিদ
kushikkhar,কুশিক্ষার
kushikkhay,কুশিক্ষায়
kushikkhit,কুশিক্ষিত
kushikkhitder,কুশিক্ষিতদের
kushle,কুশলে
kushli,কুশলী
kushobdo,কুশব্দ
kushol,কুশল
kushon,কুশন
kushri,কুশ্রী
kushtiya,কুষ্টিয়া
kushtiyabasir,কুষ্টিয়াবাসীর
kushtiyar,কুষ্টিয়ার
kushtiyate,কুষ্টিয়াতে
kushtiyay,কুষ্টিয়ায়
kusi,কুসি
kusongoskar,কুসংস্কার
kusongoskaracchonno,কুসংস্কারাচ্ছন্ন
kusongoskaracchonnta,কুসংস্কারাচ্ছন্নতা
kusongoskare,কুসংস্কারে
kusongoskarer,কুসংস্কারের
kusongoskarke,কুসংস্কারকে
kusongoskarogrostho,কুসংস্কারগ্রস্থ
kusongosktir,কুসংস্কতির
kusontan,কুসন্তান
kustarika,কুস্টারিকা
kusti,কুস্তি
kustiyay,কুস্টিয়ায়
kusu,কুসু
kusum,কুসুম
kusumbag,কুসুমবাগ
kut,৷
kuta,কুতা
kutadharira,কুটাধারীরা
kutaleague,কুতালীগে
kutalig,কুতালীগ
kutalik,কুতালীক
kutao,কুটাও
kutar,কুতার
kutay,কুতায়
kutbuddhi,কুটবুদ্ধি
kutcal,কূটচাল
kute,কুটে
kuthakar,কুথাকার
kuthar,কুঠার
kutharaghat,কুঠারাঘাত
kuthay,কুথায়
kuthi,কুঠি
kuthir,কুঠির
kuthita,কুঠিটা
kuti,কুটি
kutigun,কুটিগুন
kutiltar,কুটিলতার
kutinhor,কুতিনহোর
kutir,কুটির
kutirei,কুটিরেই
kutirshilper,কুটিরশিল্পের
kutjale,কুঁটজালে
kutjalikere,কুত্যালীকেরে
kutjliker,কুত্যলিকের
kutkoushol,কূটকৌশল
kutkousholke,কূটকৌশলকে
kutkuti,কেন
kutna,কুটনা
kutnami,কূটনামী
kutnamite,কুটনামীতে
kutnitider,কুটনিতিদের
kutnitik,কূটনীতিক
kutnitikera,কূটনীতিকেরা
kutnitikke,কূটনীতিককে
kutnitikor,কূটনীতিকর
kutnitir,কূটনীতির
kutnoitik,কূটনৈতিক
kutnoitikke,কূটনৈতিককে
kutokti,কুটক্তি
kutosja,কুতস্যা
kutsa,কুৎসা
kutsit,কুৎসিত
kutta,কুত্তা
kuttabahinider,কুত্তাবাহিনীদের
kuttabilaire,কুত্তাবিলাইরে
kuttader,কুত্তাদের
kuttaderke,কুত্তাদেরকে
kuttaguloke,কুত্তাগুলোকে
kuttai,কুত্তাই
kuttake,কুত্তাকে
kuttaleaguer,কুত্তালীগের
kuttalig,কুত্তালীগ
kuttamara,কুত্তামারা
kuttamna,কুত্তামনা
kuttan,কুত্তান
kuttao,কুত্তাও
kuttaoyali,কুত্তাওয়ালী
kuttar,কুত্তার
kuttara,কুত্তারা
kuttarbacca,কুত্তারবাচ্চা
kuttarbaccara,কুত্তারবাচ্চারা
kuttarbaccha,কুত্তারবাচ্ছা
kuttare,কুত্তারে
kuttata,কুত্তাটা
kuttatare,কুত্তাটারে
kuttay,কুত্তায়
kuttayo,কুত্তায়ও
kutteke,কুত্তেকে
kutti,কুত্তি
kuttiderke,কুত্তিদেরকে
kuttsiti,কুত্তসিটি
kutu,কুতু
kutuar,কুতূার
kutubdiya,কুতুবদিয়া
kutukti,কুটুক্তি
kutuya,স্মরনীয়
kuu,কুু
kuuje,কুউজে
kuukur,কুুকুর
kuvashar,কুভাষার
kuya,কুয়া
kuyai,কুয়াই
kuyakata,কুয়াকাটা
kuyakatay,কুয়াকাটায়
kuyalalam,কুয়ালালাম
kuyalalampur,কুয়ালালামপুর
kuyalalampurer,কুয়ালালামপুরের
kuyasha,কুয়াশা
kuyashacchonno,কুয়াশাচ্ছন্ন
kuyashadhaka,আবহাওয়াতে
kuyashar,কুয়াশার
kuyashay,কুয়াশায়
kuyata,কুয়াতা
kuyet,কুয়েত
kuyete,কুয়েতে
kuyeter,কুয়েতের
kuyor,কুয়োর
kuyoy,কুয়োয়
kvar,কভার
kvid,কভিড
kvu,কভু
kyek,কয়েক
kyekdin,কয়েকদিন
kyekmas,কয়েকমাস
kyekojni,কয়েকজনি
kyekojon,কয়েকজন
kyekta,কয়েকটা
kyektar,কয়েকটার
kyener,কয়েনের
l,ল
la,লা
lab,লাব
labbayik,লাব্বায়িক
laber,লাবের
labiu,লাবিউ
labki,লাবকি
labni,লাবনি
labnir,লাবণীর
labonjo,লাবন্য
labonjor,লাবণ্যর
labushaneder,লাবুশানেদের
lacci,লাচ্চি
lacho,লাছও
ladakhe,লাদাখে
ladali,লাদালী
laden,লাদেন
ladener,লাদেনের
ladenke,লাদেনকে
ladesh,টিমে
ladeshe,লাদেশে
ladesher,লাদেশের
laek,লােক
laekmukhe,লােকমুখে
laekti,লােকটি
laektir,লােকটির
laf,লাফ
lafa,লাফা
lafabe,লাফাবে
lafacche,লাফাচ্ছে
lafai,লাফাই
lafaichen,লাফাইছেন
lafaichilen,কেন
lafaitechen,লাফাইতেছেন
lafaiya,লাফাইয়া
lafalafi,লাফালাফি
lafalafir,লাফালাফির
lafan,লাফান
lafangga,লাফাঙ্গা
lafanggar,লাফাঙ্গার
lafano,লাফানো
lafanor,লাফানোর
lafay,লাফায়
lafemeloka,লাফেমেলোকা
lafi,লাফি
lafir,লাফির
lafiye,লাফিয়ে
lafouine,আমাকে
lag,লাগ
laga,লাগা
lagab,লাগাব
lagabar,লাগাবার
lagabe,লাগাবে
lagaben,লাগাবেন
lagabo,লাগাবো
lagacche,লাগাচ্ছে
lagacchen,লাগাচ্ছেন
lagace,লাগাচে
lagach,লাগাছ
lagache,লাগাছে
lagagulo,লাগাগুলো
lagai,লাগাই
lagaib,লাগাইব
lagaiche,লাগাইছে
lagaichen,ইমরান
lagaila,লাগাইলা
lagailen,লাগাইলেন
lagaileo,লাগাইলেও
lagaili,লাগাইলি
lagailire,লাগাইলিরে
lagaiso,লাগাইসো
lagaitam,লাগাইতাম
lagaite,লাগাইতে
lagaito,লাগাইতো
lagaiya,লাগাইয়া
lagalagi,লাগালাগি
lagalam,লাগালাম
lagale,লাগালে
lagalei,লাগালেই
lagalen,লাগালেন
lagalo,লাগালো
lagam,লাগাম
lagamhin,লাগামহীন
lagamtana,লাগামটানা
lagan,লাগান
laganea,লাগানো
laganer,লাগানের
lagani,লাগানি
laganiye,লাগানিয়ে
lagano,লাগানো
laganor,লাগানোর
laganota,লাগানোটা
lagao,লাগাও
lagar,লাগার
lagashuruhol,লাগাশুরুহল
lagat,লাগাত
lagata,স্বাভাবিক
lagatai,লাগাটাই
lagatar,লাগাতার
lagate,লাগাতে
lagato,লাগাতো
lagay,লাগায়
lagaya,লাগায়া
lagaye,লাগায়ে
lagayli,লাগায়লি
lagayni,লাগায়নি
lagbe,লাগবে
lagbei,লাগবেই
lagben,লাগবেন
lagbena,লাগবেনা
lagbi,লাগবি
lagbo,লাগবো
lagboi,লাগবোই
lagbona,লাগবোনা
lagce,লাগচে
lagche,লাগছে
lagchen,লাগছেন
lagchena,লাগছেনা
lagcheparbejer,লাগছেপারবেজের
lagchet,লাগছেত
lagchi,লাগছি
lagchil,লাগছিল
lagchilam,লাগছিলাম
lagchilo,লাগছিলো
lagdo,লাগদো
lage,লাগে
lagebe,লাগেবে
lageche,লাগেছে
lagei,লাগেই
lagej,লাগেজ
lagejguli,লাগেজগুলি
lagen,বল্লো
lagena,লাগেনা
lagenai,লাগেনাই
lagenaki,লাগেনাকি
lagenay,লাগেনায়
lageni,লাগেনি
lagenito,লাগেনিতো
lageo,লাগেও
lager,লাগের
lagere,লাগেরে
lages,লাগেস
lagge,লাগগে
laghber,লাঘবের
laghche,লাঘছে
laghob,লাঘব
lagi,লাগি
lagibena,লাগিবেনা
lagibi,মোৰ
lagicoc,লাগইচোচ
lagil,লাগিল
lagini,লাগিনি
lagiye,লাগিয়ে
lagiyeche,লাগিয়েছে
lagiyechen,শোক
lagiyechil,লাগিয়েছিল
lagiyechilam,লাগিয়েছিলাম
lagiyeo,লাগিয়েও
lagje,লাগজে
lagko,লাগকো
lagl,লাগ্ল
laglam,লাগলাম
lagle,লাগলে
laglea,লাগলো
laglebong,লাগলএবং
laglei,লাগলেই
laglen,লাগলেন
lagleo,লাগলেও
laglo,লাগলো
laglona,লাগলোনা
lagloora,লাগলোওরা
lago,লাগো
lagob,লাগব
lagocche,লাগচ্ছে
lagochoch,লাগছছ
lagoi,লাগৈ
lagojcor,লাগজচোর
lagojteche,লাগজতেছে
lagol,লাগল
lagor,লাগর
lagos,লাগোস
lagot,লাগত
lagotna,লাগতনা
lagoya,লাগোয়া
lagpi,লাগপি
lagse,লাগসে
lagtace,লাগতাচে
lagtache,লাগতাছে
lagtase,লাগতাসে
lagte,লাগতে
lagtea,লাগতো
lagtech,লাগতেছ
lagteche,লাগতেছে
lagtechil,লাগতেছিল
lagtei,লাগতেই
lagten,লাগতেন
lagtese,লাগতেসে
lagtesilo,লাগতেসিলো
lagto,লাগতো
lagtona,লাগতোনা
laguk,লাগুক
lagye,লাগয়ে
lahaber,লাহাবের
lahan,লাহান
lahche,লাহছে
lahiri,লাহিড়ি
lahlo,লাহলো
lahore,লাহোরে
lai,লাই
laib,লাইব
laibo,লাইবো
laibreri,লাইব্রেরি
laibreridet,লাইব্রেরিডেট
laibrerir,লাইব্রেরির
laibrerite,লাইব্রেরিতে
laibreriyan,লাইব্রেরিয়ান
laicen,লাইচেন
laiceno,লাইচেনও
laiche,লাইছে
laichenchod,লাইছেন্ছড
laiches,লাইছেস
laichi,লাইছি
laichot,লাইছত
laid,লাইদ
laif,লাইফ
laife,লাইফে
laifeet,লাইফেএত
laifeo,লাইফেও
laifer,লাইফের
laiferi,লাইফেরই
laifke,করার
laiflain,লাইফলাইন
laifles,লাইফলেস
laifostail,লাইফস্টাইল
laifostaile,লাইফস্টাইলে
laifta,লাইফটা
laiftake,লাইফটাকে
laifye,লাইফয়ে
laiga,লাইগা
laigare,লাইগারে
laigbo,লাইগবো
laigga,লাইগ্গা
laijna,লাইজ্ঞা
laik,লাইক
laika,লাইকা
laikan,লাইকান
laikar,লাইকার
laike,লাইকে
laiker,লাইকের
laiket,লাইকেট
laiki,লাইকই
laiko,লাইকও
laikta,লাইকটা
laikuo,লাইকুও
laim,লাইম
laimanke,লাইমানকে
laimlaite,লাইমলাইটে
lain,লাইন
laincutjo,লাইনচূত্য
laine,লাইনে
lainei,লাইনেই
lainer,লাইনের
lainguli,লাইনগুলি
laingulo,লাইনগুলো
lainguloi,লাইনগুলোই
laino,লাইনও
lainosomjanke,লাইনসম্যানকে
lainser,লাইন্সের
lainta,লাইনটা
laintai,লাইনটাই
laintao,লাইনটাও
lainti,লাইনটি
laip,লাইপ
laisarjik,লাইসার্জিক
laisen,লাইসেন
